Area_sqft,Bedrooms,Bathrooms,Floors,Parking,Age,Location_Score,Distance_to_City_km,House_Price
1756,4,3,2,2,6,7.8,10.8,10234000
1676,4,3,1,1,13,5.0,4.8,8279000
1635,4,3,3,2,0,8.3,1.4,11735000
2424,4,3,2,2,6,4.1,23.1,9812000
912,3,3,1,2,5,7.0,4.3,7563000
1057,3,3,1,0,2,7.7,14.9,5778000
2651,5,5,3,2,10,5.8,1.2,13934000
2345,3,3,2,2,10,6.4,10.0,12267000
1676,4,3,2,1,20,6.0,7.4,9523000
2430,4,3,3,3,29,4.4,19.4,9768000
804,2,2,2,1,14,9.8,9.2,7104000
2429,3,2,2,2,27,7.3,4.9,11787000
1365,2,2,1,1,21,4.2,13.1,5057000
2134,4,4,2,1,19,8.8,7.3,11508000
1579,2,2,2,3,1,4.2,15.0,6537000
3282,5,3,1,2,5,4.0,9.4,13606000
1923,3,3,3,2,16,6.8,1.2,9668000
807,1,1,2,2,23,6.3,8.5,4765000
1943,3,3,2,1,4,8.0,18.3,9782000
1937,3,3,1,2,17,7.7,12.8,9664000
2627,5,3,3,3,12,4.1,8.4,11612000
1338,3,3,1,0,3,6.0,4.6,8695000
1853,4,3,3,2,17,6.4,16.5,9011000
1667,3,2,1,1,15,4.5,7.2,7611000
1666,4,3,3,2,29,5.3,13.4,7424000
856,2,1,1,1,13,9.6,4.3,6901000
1847,4,4,2,1,32,4.0,9.6,7958000
2653,6,4,3,1,15,7.1,14.8,12612000
1388,3,3,1,1,15,5.2,4.5,7831000
2535,4,4,1,1,29,7.4,9.0,11264000
1099,2,2,1,1,23,5.3,10.1,4876000
2158,4,4,1,2,6,9.4,14.3,11815000
2495,4,4,2,2,13,7.8,17.5,11973000
1234,3,2,1,2,17,3.8,10.1,5778000
2232,4,4,3,1,7,4.0,11.5,10935000
907,2,2,1,2,8,3.8,1.3,6225000
2032,4,3,2,1,22,8.4,11.7,10623000
1408,2,1,2,1,26,3.7,11.5,5009000
2911,6,4,2,2,6,5.9,6.7,14867000
2026,3,3,2,2,14,4.9,8.2,8989000
1805,4,4,3,2,1,4.2,14.6,9193000
1774,4,3,1,3,22,8.1,8.3,10347000
1210,2,2,1,2,0,6.8,11.5,7383000
921,2,2,2,0,21,7.4,10.1,5524000
2475,4,4,3,2,35,4.3,7.1,9316000
2589,3,3,2,3,35,8.8,10.4,12173000
2047,4,4,3,3,13,6.7,2.7,12063000
550,1,1,1,1,32,7.7,9.7,3582000
2304,4,3,2,2,1,3.8,10.5,11109000
1759,3,3,3,2,24,6.6,12.4,9181000
2933,4,4,2,2,33,6.4,12.4,10777000
1337,2,2,1,2,33,9.7,1.2,7880000
2544,4,4,3,2,30,6.3,5.9,11830000
605,2,2,2,1,17,6.3,10.8,4271000
1144,2,1,1,1,24,7.9,24.7,4559000
1621,4,4,3,3,3,4.8,1.2,10643000
984,3,3,1,1,19,8.2,6.6,7548000
568,2,2,1,2,14,5.2,5.1,4560000
1282,2,2,1,0,25,7.2,1.2,7219000
1617,4,3,3,2,3,5.1,8.4,9550000
1151,3,3,2,0,30,3.6,24.3,2572000
1163,3,2,1,0,1,9.5,12.4,8059000
2044,3,3,2,3,16,8.3,15.0,10530000
2622,6,6,1,2,19,4.2,18.0,10844000
1128,3,3,1,0,15,4.1,1.2,6472000
595,1,1,1,1,34,6.2,6.3,3583000
1163,3,2,2,1,29,8.0,23.4,4859000
2267,4,4,3,3,27,8.7,6.8,11831000
1892,4,4,2,3,24,5.6,28.3,6855000
1870,4,3,2,2,21,5.3,1.2,9191000
1113,2,1,1,2,31,7.0,9.1,5675000
2587,4,4,1,1,18,4.9,9.9,10443000
1208,3,3,2,1,29,5.2,8.1,6082000
2179,3,3,1,2,12,4.9,1.2,10602000
2634,5,3,2,2,14,5.8,10.7,11635000
2815,4,4,1,1,35,5.3,21.4,9506000
1855,3,3,2,3,30,6.3,8.7,8862000
2043,4,3,1,3,31,4.0,10.4,8139000
2344,4,3,2,1,35,8.3,19.3,9090000
1137,2,2,2,2,28,5.4,5.7,5802000
1641,3,2,2,2,5,4.5,11.0,7978000
2077,3,3,3,3,18,3.7,10.6,9329000
2008,3,3,2,3,7,6.9,9.9,9764000
712,1,1,1,1,19,7.2,19.1,3144000
1171,3,3,2,1,32,6.9,14.9,5434000
2184,4,4,2,2,1,4.1,24.9,8539000
550,2,2,1,1,30,6.8,4.2,4218000
2036,4,4,3,1,30,5.7,6.8,10316000
2214,4,4,3,1,29,4.1,7.1,9597000
2172,4,4,1,3,26,3.8,2.3,9783000
1147,2,1,2,1,18,6.3,12.1,5748000
1536,2,2,2,2,35,3.6,7.8,6060000
2023,3,3,2,3,18,6.7,9.1,9867000
3070,5,3,3,2,24,4.7,2.6,12876000
2011,4,4,2,1,18,8.1,14.0,10496000
1119,3,2,2,2,22,5.6,12.6,5477000
3046,6,4,3,2,26,3.8,6.2,12987000
834,2,2,1,2,2,4.3,18.1,4083000
2863,4,4,3,1,9,6.1,20.0,11802000
1538,3,3,2,3,5,8.9,20.3,8039000
1436,3,3,1,0,15,7.5,16.2,8233000
780,1,1,1,0,28,4.5,11.5,2894000
1750,4,4,3,2,15,6.8,14.1,8508000
1386,2,1,1,2,15,6.6,7.6,7114000
1383,2,2,2,1,4,6.3,6.1,7719000
2563,4,4,2,3,19,4.8,6.0,12106000
1917,4,4,2,1,25,5.2,21.1,7007000
1451,2,2,3,1,14,7.3,6.0,8919000
1140,2,2,1,0,19,8.5,4.7,7615000
1978,3,2,2,2,26,4.6,17.9,7659000
2636,5,3,2,3,18,8.2,10.5,12774000
2122,3,2,2,3,35,5.8,12.3,8578000
1152,3,3,2,1,6,7.8,10.2,7266000
2011,4,4,2,1,29,9.2,9.7,11100000
2853,5,5,1,1,15,9.1,25.0,12845000
2388,4,4,2,3,6,8.8,1.2,12803000
1665,3,3,3,2,23,4.1,22.5,5988000
1100,3,2,2,1,12,9.6,24.4,6190000
2226,3,2,2,2,8,8.5,14.6,11212000
3025,6,4,2,2,21,8.4,14.3,13085000
1531,2,2,2,2,7,7.7,31.8,6323000
1868,3,3,2,1,11,5.2,17.1,8315000
2028,4,4,1,3,32,4.9,13.7,7836000
1156,3,3,1,0,30,8.8,9.0,6989000
1685,3,3,2,1,8,5.2,4.6,8562000
1241,3,3,2,2,32,7.3,20.8,5947000
2417,3,3,3,2,26,5.6,3.9,10536000
2044,3,3,3,2,16,5.9,21.1,9372000
2969,4,4,1,2,8,7.0,17.4,12055000
1418,3,3,1,2,22,9.0,18.8,7278000
2032,4,4,2,2,6,7.1,10.9,11009000
2774,4,3,2,2,7,8.3,1.2,13953000
2841,6,6,1,2,1,4.6,1.2,14116000
1315,3,3,1,1,9,7.1,8.9,7942000
1741,3,3,3,3,21,4.5,10.7,7953000
2382,3,2,2,2,3,7.7,10.6,12612000
1150,3,2,1,1,27,4.2,12.7,4525000
1065,3,2,1,2,3,3.5,10.5,5749000
2174,4,3,1,3,27,4.6,16.1,7981000
2543,4,3,3,1,27,3.6,24.3,8061000
1095,3,3,1,2,1,9.6,7.8,9296000
3242,5,5,2,1,27,8.8,12.4,15552000
1204,3,3,2,1,21,8.4,10.9,7935000
2275,3,3,2,2,15,4.1,11.8,9699000
2478,3,2,3,3,28,7.8,21.7,10664000
1220,3,3,2,1,28,3.9,6.4,5895000
1815,3,3,3,3,2,3.9,14.4,8605000
1623,3,3,3,3,35,9.5,11.9,8918000
2561,3,3,3,2,3,6.3,7.1,12971000
700,1,1,1,0,15,8.0,20.5,3657000
1373,3,3,2,1,3,8.5,7.8,9098000
